country,indicator,sex,classification1,classification2,year,value
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2024,0.865
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2023,0.962
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2022,0.909
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2021,0.557
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2020,0.638
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2019,0.542
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15-24",,2019,0.61
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 25+",,2019,0.535
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15+",,2019,0.572
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15-24",,2019,0.723
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 25+",,2019,0.555
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15+",,2019,0.484
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15-24",,2019,0.369
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 25+",,2019,0.496
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2018,0.485
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15-24",,2018,0.547
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 25+",,2018,0.478
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15+",,2018,0.513
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15-24",,2018,0.645
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 25+",,2018,0.498
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15+",,2018,0.427
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15-24",,2018,0.324
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 25+",,2018,0.437
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2017,0.761
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15-24",,2017,0.848
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 25+",,2017,0.751
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15+",,2017,0.808
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15-24",,2017,1.016
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 25+",,2017,0.783
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15+",,2017,0.672
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15-24",,2017,0.516
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 25+",,2017,0.69
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2016,0.859
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15-24",,2016,0.949
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 25+",,2016,0.849
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15+",,2016,0.914
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15-24",,2016,1.124
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 25+",,2016,0.889
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15+",,2016,0.75
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15-24",,2016,0.573
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 25+",,2016,0.77
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15+",,2015,1.138
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 15-24",,2015,1.255
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Total,"Age (Youth, adults): 25+",,2015,1.123
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15+",,2015,1.204
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 15-24",,2015,1.497
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Male,"Age (Youth, adults): 25+",,2015,1.17
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15+",,2015,1.004
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 15-24",,2015,0.788
Sri Lanka,Sdg Indicator 1.1.1 - Working Poverty Rate (Percentage Of Employed Living Below Us$2.15 Ppp) (%),Female,"Age (Youth, adults): 25+",,2015,1.031
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15+",,2022,17161.973
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15-64",,2022,14309.003
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 15-24",,2022,3244.495
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,"Age (Youth, adults): 25+",,2022,13917.478
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15+",,2022,7914.636
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15-64",,2022,6682.782
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 15-24",,2022,1576.865
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,"Age (Youth, adults): 25+",,2022,6337.771
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 15+",,2022,9247.337
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 15-64",,2022,7626.221
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 15-24",,2022,1667.63
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,"Age (Youth, adults): 25+",,2022,7579.707
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): Total,,2022,17161.973
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 15-24,,2022,3244.495
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 25-54,,2022,8393.027
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 55-64,,2022,2671.481
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (Aggregate bands): 65+,,2022,2852.97
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): Total,,2022,7914.636
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 15-24,,2022,1576.865
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 25-54,,2022,3864.491
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 55-64,,2022,1241.426
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Male,Age (Aggregate bands): 65+,,2022,1231.854
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): Total,,2022,9247.337
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 15-24,,2022,1667.63
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 25-54,,2022,4528.536
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 55-64,,2022,1430.055
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Female,Age (Aggregate bands): 65+,,2022,1621.116
Sri Lanka,Working-Age Population By Sex And Age (Thousands),Total,Age (10-year bands): Total,,2022,17161.973
